time,1,2
2024-06-01 00:00:00,214.4,53.6
2024-06-01 00:10:00,223.5,55.875
2024-06-01 00:20:00,237.1,59.275
2024-06-01 00:30:00,257.1,64.275
2024-06-01 00:40:00,285.4,71.35
2024-06-01 00:50:00,324.3,81.075
2024-06-01 01:00:00,375.9,93.975
2024-06-01 01:10:00,442.2,110.55
2024-06-01 01:20:00,524.2,131.05
2024-06-01 01:30:00,622,155.5
2024-06-01 01:40:00,734.4,183.6
2024-06-01 01:50:00,858.2,214.55
2024-06-01 02:00:00,988.5,247.125
2024-06-01 02:10:00,1118.6,279.65
2024-06-01 02:20:00,1241,310.25
2024-06-01 02:30:00,1347.2,336.8
2024-06-01 02:40:00,1429.7,357.425
2024-06-01 02:50:00,1482.1,370.525
2024-06-01 03:00:00,1500,375
2024-06-01 03:10:00,1482.1,370.525
2024-06-01 03:20:00,1429.7,357.425
2024-06-01 03:30:00,1347.2,336.8
2024-06-01 03:40:00,1241,310.25
2024-06-01 03:50:00,1118.6,279.65
2024-06-01 04:00:00,988.5,247.125
2024-06-01 04:10:00,858.2,214.55
2024-06-01 04:20:00,734.4,183.6
2024-06-01 04:30:00,622,155.5
2024-06-01 04:40:00,524.2,131.05
2024-06-01 04:50:00,442.2,110.55
2024-06-01 05:00:00,375.9,93.975
2024-06-01 05:10:00,324.3,81.075
2024-06-01 05:20:00,285.4,71.35
2024-06-01 05:30:00,257.1,64.275
2024-06-01 05:40:00,237.1,59.275
2024-06-01 05:50:00,223.5,55.875
2024-06-01 06:00:00,214.4,53.6
